message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.524408])";"30";"turtlesim2.sim";"1759169031.344106261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.495983])";"30";"turtlesim1.sim";"1759169031.341213261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim3.sim";"1759169031.340076886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.552833])";"30";"turtlesim2.sim";"1759169031.328292220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.524408])";"30";"turtlesim1.sim";"1759169031.326199178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.609683])";"30";"turtlesim3.sim";"1759169031.323863928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim2.sim";"1759169031.312266678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.552833])";"30";"turtlesim1.sim";"1759169031.310223178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.638108])";"30";"turtlesim3.sim";"1759169031.307070761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.609683])";"30";"turtlesim2.sim";"1759169031.296101053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.581258])";"30";"turtlesim1.sim";"1759169031.294042720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.666533])";"30";"turtlesim3.sim";"1759169031.292118636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.638108])";"30";"turtlesim2.sim";"1759169031.280071220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.609683])";"30";"turtlesim1.sim";"1759169031.278238970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.694958])";"30";"turtlesim3.sim";"1759169031.275074928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.666533])";"30";"turtlesim2.sim";"1759169031.264139636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.638108])";"30";"turtlesim1.sim";"1759169031.261252220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.723383])";"30";"turtlesim3.sim";"1759169031.261012886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.694958])";"30";"turtlesim2.sim";"1759169031.248092261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.666533])";"30";"turtlesim1.sim";"1759169031.246260136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.751808])";"30";"turtlesim3.sim";"1759169031.243322886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.723383])";"30";"turtlesim2.sim";"1759169031.232177303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.694958])";"30";"turtlesim1.sim";"1759169031.230285428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.780233])";"30";"turtlesim3.sim";"1759169031.229291553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.751808])";"30";"turtlesim2.sim";"1759169031.216090470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.723383])";"30";"turtlesim1.sim";"1759169031.214091595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.808658])";"30";"turtlesim3.sim";"1759169031.211529595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.780233])";"30";"turtlesim2.sim";"1759169031.200252720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.751808])";"30";"turtlesim1.sim";"1759169031.198166386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.837083])";"30";"turtlesim3.sim";"1759169031.195532178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.808658])";"30";"turtlesim2.sim";"1759169031.184075678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.780233])";"30";"turtlesim1.sim";"1759169031.181210595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.865508])";"30";"turtlesim3.sim";"1759169031.180309178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.837083])";"30";"turtlesim2.sim";"1759169031.168160386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.808658])";"30";"turtlesim1.sim";"1759169031.166029761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.893933])";"30";"turtlesim3.sim";"1759169031.164578886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.865508])";"30";"turtlesim2.sim";"1759169031.152158553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.837083])";"30";"turtlesim1.sim";"1759169031.150265803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.922358])";"30";"turtlesim3.sim";"1759169031.147221386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.893933])";"30";"turtlesim2.sim";"1759169031.136080886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.865508])";"30";"turtlesim1.sim";"1759169031.134207470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.950783])";"30";"turtlesim3.sim";"1759169031.131372386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.922358])";"30";"turtlesim2.sim";"1759169031.120163636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.893933])";"30";"turtlesim1.sim";"1759169031.118264345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.979208])";"30";"turtlesim3.sim";"1759169031.115090470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.950783])";"30";"turtlesim2.sim";"1759169031.104471595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.922358])";"30";"turtlesim1.sim";"1759169031.101565220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.007633])";"30";"turtlesim3.sim";"1759169031.101079261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.979208])";"30";"turtlesim2.sim";"1759169031.088105220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.950783])";"30";"turtlesim1.sim";"1759169031.086079761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.036058])";"30";"turtlesim3.sim";"1759169031.084574261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.007633])";"30";"turtlesim2.sim";"1759169031.072083886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=4.979208])";"30";"turtlesim1.sim";"1759169031.070120345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.064484])";"30";"turtlesim3.sim";"1759169031.068301720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.036058])";"30";"turtlesim2.sim";"1759169031.056456678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.007633])";"30";"turtlesim1.sim";"1759169031.054041928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.092909])";"30";"turtlesim3.sim";"1759169031.051310095";"./src/turtle.cpp:update:260"
